family,genus,species,authority,sp4,sp6,lifeform
Anacardiaceae,(anacardiaceae),sp.1,NA,NA,ANA1,NA
Annonaceae,(annonaceae),sp.1,NA,NA,ANN1,NA
Annonaceae,(annonaceae),sp.2,NA,NA,ANN2,NA
Bignoniaceae,(Bignoniaceae),clitoria,NA,NA,BIG2,LIANA
Bignoniaceae,(Bignoniaceae),sp.1,NA,NA,BIG1,LIANA
Celastraceae,(celastraceae),sp.1,NA,NA,CEL1,NA
Cucurbitaceae,(Cucurbitaceae),sp.1,NA,NA,CUC1,LIANA
Euphorbiaceae,(euphorbiaceae),sp.2,NA,NA,EUP2,NA
Lauraceae,(lauraceae),pubescente,,,LAU12,NA
Lauraceae,(lauraceae),sp.11,NA,NA,LAU11,NA
Lauraceae,(lauraceae),sp.4,NA,NA,LAU4,NA
Lauraceae,(lauraceae),sp.5,NA,NA,LAU5,NA
Lauraceae,(lauraceae),sp.8,NA,NA,LAU8,NA
Malpighiaceae,(Malpighiaceae),sp. 1,NA,NA,MAL1,LIANA
Melastomataceae,(melastomataceae),sp.4,NA,NA,MEL4,NA
Melastomataceae,(melastomataceae),sp.5,NA,NA,MEL5,NA
Myrtaceae,(myrtaceae),sp.11,NA,NA,MYT11,NA
Myrtaceae,(myrtaceae),sp.13,NA,NA,MYT13,NA
Myrtaceae,(myrtaceae),sp.15,NA,NA,MYT15,NA
Myrtaceae,(myrtaceae),sp.16,NA,NA,MYT16,NA
Myrtaceae,(myrtaceae),sp.17,NA,NA,MYT17,NA
Myrtaceae,(myrtaceae),sp.18,NA,NA,MYT18,NA
Nyctaginaceae,(nyctaginaceae),sp.2,NA,NA,NYC2,NA
Passifloraceae,(Passifloraceae),sp.1,NA,NA,PAS1,LIANA
Rubiaceae,(rubiaceae),sp.6,NA,NA,RUB6,NA
Rubiaceae,(rubiaceae),sp.7,NA,NA,RUB7,NA
Rubiaceae,(rubiaceae),sp.8,NA,NA,RUB8,NA
Sapindaceae,(Sapindaceae),sp. 1,NA,NA,SAP1,LIANA
Sapindaceae,(Sapindaceae),sp. 3,NA,NA,SAP3,LIANA
Sapotaceae,(sapotaceae),sp.2,NA,NA,SAP2,NA
Sapotaceae,(sapotaceae),sp.4,NA,NA,SAP4,NA
Sapotaceae,(sapotaceae),sp.5,NA,NA,SAP5,NA
Sapotaceae,(sapotaceae),sp.6,NA,NA,SAP6,NA
Fabaceae:Mimos.,Abarema,barbouriana,(Standl.) Barneby & J.W. Grimes,ABAB,PIT1BA,M
Fabaceae:Mimos.,Abarema,macradenia,(Pittier) Barneby & J.W. Grimes,PITM,PIT1MA,T
Menispermaceae,Abuta,panamensis,(Standl.) Krukoff & Barneby,ABUP,ABUTPA,LIANA
Menispermaceae,Abuta,racemosa,(Thunb.) Triana & Planch.,ABUR,ABUTRA,LIANA
Fabaceae:Mimos.,Acacia,collinsii,,,ACACCO,NA
Fabaceae,Acacia,hayesii,NA,NA,ACACAC,LIANA
Fabaceae,Acacia,hayesii,Benth.,ACAH,ACACHA,LIANA
Fabaceae:Mimos.,Acacia,melanoceras,Beurl.,ACA1,ACACME,U
Fabaceae,Acacia,riparia,Kunth,ACAR,ACACRI,VINE
Fabaceae:Mimos.,Acacia,sp.1,NA,NA,ACAC1,NA
Euphorbiaceae,Acalypha,diversifolia,Jacq.,ACAD,ACALDI,S
Euphorbiaceae,Acalypha,macrostachya,Jacq.,ACA2,ACALMA,U
Cactaceae,Acanthocereus,tetragonus,,,ACANTE,NA
Euphorbiaceae,Acidoton,nicaraguensis,,,ACIDNI,S
Melastomataceae,Aciotis,rubricaulis,(Mart. ex DC.) Triana,ACIL,ACIOLE,NA
Fabaceae:Papil.,Acosmium,panamense,,,ACOSPA,M
Arecaceae,Acrocomia,aculeata,(Jacq.) Lodd. ex Mart.,ACRA,ACROPA,U palma
Euphorbiaceae,Adelia,triloba,(Müll. Arg.) Hemsl.,ADET,ADE1TR,U
Melastomataceae,Adelobotrys,adscendens,(Sw.) Triana,ADE1,ADE2AD,LIANA
Melastomataceae,Adelobotrys,panamensis,,,ADELPA,NA
Lythraceae,Adenaria,floribunda,,,ADENFL,NA
Bignoniaceae,Adenocalymma,arthropetiolatum,NA,NA,ADE3AR,LIANA
Bignoniaceae,Adenocalymma,inundatum,Mart. ex DC.,ADE2,ADE3IN,LIANA
Verbenaceae,Aegiphila,anomala,,,AEGIAN,M
Verbenaceae,Aegiphila,cephalophora,Standl.,AEGC,AEGICE,LIANA
Verbenaceae,Aegiphila,elata,Sw.,AEGE,AEGIEL,LIANA
Verbenaceae,Aegiphila,odontophylla,NA,NA,AEGIOD,NA
Verbenaceae,Aegiphila,panamensis,Moldenke,AEGP,AEGIPA,M
Opiliaceae,Agonandra,brasiliensis,NA,NA,AGONBR,NA
Lauraceae,Aiouea,vexatrix,NA,NA,AIOUVE,NA
Arecaceae,Aiphanes,hirsuta,,,AIPHHI,S palma
Fabaceae:Mimos.,Albizia,adinocephala,,,ALBIAD,M
Fabaceae:Mimos.,Albizia,niopoides,,,ALBINI,NA
Fabaceae:Mimos.,Albizia,procera,,,ALBIPR,NA
Euphorbiaceae,Alchornea,costaricensis,Pax & K. Hoffm.,ALCC,ALCHCO,T
Euphorbiaceae,Alchornea,grandis,,,ALCHGR,NA
Euphorbiaceae,Alchornea,latifolia,Sw.,ALCL,ALCHLA,M
Euphorbiaceae,Alchornea,sp.3,NA,NA,ALCH3,NA
Euphorbiaceae,Alchornea,sp.4,NA,NA,ALCH4,NA
Euphorbiaceae,Alchornea,sp.5,NA,NA,ALCH5,NA
Rubiaceae,Alibertia,edulis,(Rich.) A. Rich. ex DC.,ALIE,ALIBED,U
Rubiaceae,Alibertia,garapatica,NA,NA,ALIBGA,NA
Apocynaceae,Allamanda,cathartica,NA,NA,ALLACA,LIANA
Rubiaceae,Allenanthus,erythrocarpus,,,ALLEER,M
Sapindaceae,Allophylus,gentryi,Croat,ALLG,ALLOGE,U
Sapindaceae,Allophylus,psilospermus,Radlk.,ALLP,ALLOPS,M
Sapindaceae,Allophylus,racemosus,,,ALLOOC,NA
Sapindaceae,Allophylus,sp.2,NA,NA,ALLO2,NA
Betulaceae,Alnus,acuminata,NA,NA,ALNUAC,NA
Rubiaceae,Alseis,blackiana,Hemsl.,ALSB,ALSEBL,T
Rubiaceae,Amaioua,corymbosa,Kunth,AMAC,AMAICO,U
Rubiaceae,Amaioua,magnicarpa,,,AMAIMA,U
Rubiaceae,Amaioua,pedicellata,,,AMAIPE,U
Rubiaceae,Amaioua,sp.1,NA,NA,AMAI1,NA
Rubiaceae,Amaioua,sp.2,NA,NA,AMAI2,NA
Euphorbiaceae,Amanoa,guianensis,,,AMANGU,NA
Ulmaceae,Ampelocera,edentula,,,AMPEED,NA
Ulmaceae,Ampelocera,macphersonii,,,AMPEMA,NA
Bignoniaceae,Amphilophium,paniculatum,(L.) Kunth,AMPP,AMPHPA,LIANA
Bignoniaceae,Amphitecna,isthmica,,,AMP1IS,U
Bignoniaceae,Amphitecna,latifolia,,,AMP1LA,U
Bignoniaceae,Amphitecna,spathicalyx,,,AMP1SP,U
Rutaceae,Amyris,balsamifera,NA,NA,AMYRBA,NA
Anacardiaceae,Anacardium,excelsum,(Bertero & Balb. ex Kunth) Skeels,ANAE,ANACEX,T
Anacardiaceae,Anacardium,occidentale,L.,ANAO,ANACOC,M
Annonaceae,Anaxagorea,allenii,,,ANAXAL,S
Annonaceae,Anaxagorea,panamensis,Standl.,ANAP,ANAXPA,S
Fabaceae:Papil.,Andira,inermis,(W. Wright) DC.,ANDI,ANDIIN,T
Bignoniaceae,Anemopaegma,chrysoleucum,(Kunth) Sandwith,ANEC,ANEMCH,LIANA
Lauraceae,Aniba,hostmanniana,,,ANIBHO,NA
Lauraceae,Aniba,sp.1,NA,NA,ANIB1,NA
Lauraceae,Aniba,sp.2,NA,NA,ANIB2,NA
Annonaceae,Annona,acuminata,Saff.,ANNA,ANNOAC,S
Annonaceae,Annona,cherimola,,,ANNOCH,NA
Annonaceae,Annona,glabra,L.,ANNG,ANNOGL,U
Annonaceae,Annona,hayesii,Saff.,ANNH,ANNOHA,U
Annonaceae,Annona,montana,,,ANNOMO,U
Annonaceae,Annona,muricata,L.,ANNM,ANNOMU,U
Annonaceae,Annona,pittieri,,,ANNOPI,U
Annonaceae,Annona,purpurea,,,ANNOPU,M
Annonaceae,Annona,reticulata,,,ANNORE,NA
Annonaceae,Annona,spraguei,Saff.,ANNS,ANNOSP,M
Annonaceae,Annona,squamosa,NA,NA,ANNOSQ,NA
Caryocaraceae,Anthodiscus,chocoensis,NA,NA,ANTHCH,NA
Hippocrateaceae,Anthodon,panamense,A.C. Sm.,ANTP,ANTHPA,LIANA
Tiliaceae,Apeiba,hybrid,,,APEIHY,T
Tiliaceae,Apeiba,membranacea,Spruce ex Benth.,APEM,APEIME,NA
Tiliaceae,Apeiba,tibourbou,Aubl.,APET,APEITI,M
Acanthaceae,Aphelandra,campanensis,,,APHECA,S
Acanthaceae,Aphelandra,gracilis,,,APHEGR,S
Acanthaceae,Aphelandra,scabra,,,APHEDE,S
Acanthaceae,Aphelandra,sinclairiana,Nees,APHS,APHESI,S
Rubiaceae,Appunia,seibertii,Standl.,APPS,APPUSE,S
Myrsinaceae,Ardisia,bartlettii,Lundell,ARDB,ARDIBA,S
Myrsinaceae,Ardisia,dukei,,,ARDIDU,S
Myrsinaceae,Ardisia,fendleri,P.H. Allen,ARDF,ARDIFE,U
Myrsinaceae,Ardisia,glomerata,,,ARDIGL,S
Myrsinaceae,Ardisia,guianensis,(Aubl.) Mez,ARDG,ARDIGU,S
Myrsinaceae,Ardisia,opaca,,,ARDIOP,U
Myrsinaceae,Ardisia,opegrapha,,,ARDIO1,NA
Myrsinaceae,Ardisia,pellucida,Oerst.,ARDP,ARDIPE,NA
Myrsinaceae,Ardisia,revoluta,,,ARDIRE,U
Myrsinaceae,Ardisia,solanacea,,,ARDISO,NA
Myrsinaceae,Ardisia,sp.11,NA,NA,ARDI11,NA
Myrsinaceae,Ardisia,sp.15,NA,NA,ARDI15,NA
Myrsinaceae,Ardisia,sp.5,NA,NA,ARDI5,NA
Myrsinaceae,Ardisia,sp.6,NA,NA,ARDI6,NA
Myrsinaceae,Ardisia,sp.7,NA,NA,ARDI7,NA
Myrsinaceae,Ardisia,sp.9,NA,NA,ARDI9,NA
Aristolochiaceae,Aristolochia,cordiflora,NA,NA,ARISCO,LIANA
Aristolochiaceae,Aristolochia,gigantea,Mutis ex  Kunth,ARI2,ARISGI,LIANA
Aristolochiaceae,Aristolochia,pilosa,Kunth,ARIP,ARISPI,LIANA
Aristolochiaceae,Aristolochia,tonduzii,O.C. Schmidt,ARIC,ARISTO,LIANA
Bignoniaceae,Arrabidaea,candicans,(Rich.) DC.,ARR1,ARRACA,LIANA
Bignoniaceae,Arrabidaea,chica,(Humb. & Bonpl.) B. Verl.,ARR2,ARRACH,LIANA
Bignoniaceae,Arrabidaea,corallina,NA,NA,ARRACO,LIANA
Bignoniaceae,Arrabidaea,florida,A. DC.,ARRF,ARRAFL,LIANA
Bignoniaceae,Arrabidaea,patellifera,(Schltdl.) Sandwith,ARRP,ARRAPA,LIANA
Bignoniaceae,Arrabidaea,verrucosa,(Standl.) A.H. Gentry,ARRV,ARRAVE,LIANA
Moraceae,Artocarpus,altilis,,,ARTOAL,T
Apocynaceae,Aspidosperma,megalocarpon,Müll. Arg.,ASPM,ASPIME,T
Apocynaceae,Aspidosperma,spruceanum,Benth. ex Müll. Arg.,ASPC,ASPICR,NA
Arecaceae,Astrocaryum,alatum,,,AST1AL,S palma
Arecaceae,Astrocaryum,standleyanum,L.H. Bailey,ASTS,AST1ST,M palma
Anacardiaceae,Astronium,graveolens,Jacq.,ASTG,AST2GR,T
Arecaceae,Attalea,butyracea,(Mutis ex L. f.) Wess. Boer.,ATTB,SCH1ZO,M
Myrtaceae,Aulomyrcia,zetekiana,,,MYRCZE,S
Verbenaceae,Avicennia,bicolor,,,AVICBI,NA
Verbenaceae,Avicennia,germinans,,,AVICGE,T
Arecaceae,Bactris,barronis,L.H. Bailey,BACB,BACTBA,U palma
Arecaceae,Bactris,coloniata,L.H. Bailey,BAC1,BACTC1,S palma
Arecaceae,Bactris,coloradonis,L.H. Bailey,BAC2,BACTC2,U palma
Arecaceae,Bactris,gasipaes,,,BACTGA,M palma
Arecaceae,Bactris,major,Jacq.,BACM,BACTMA,U palma
Arecaceae,Bactris,maraja,,,BACTM1,NA
Arecaceae,Bactris,panamensis,de Nevers & Grayum,BACP,BACTPA,S palma
Fabaceae:Mimos.,Balizia,elegans,,,BALIEL,NA
Flacourtiaceae,Banara,guianensis,Aubl.,BANG,BANAGU,U
Malpighiaceae,Banisteriopsis,cornifolia,(Kunth) C.B. Rob.,BANC,BANICO,LIANA
Rubiaceae,Bathysa,veraguensis,NA,NA,BATHVE,NA
Moraceae,Batocarpus,costaricensis,,,BATOCO,NA
Fabaceae:Caesal.,Bauhinia,aculeata,NA,NA,BAUHAC,NA
Fabaceae,Bauhinia,guianensis,Aubl.,BAUG,BAUHGU,LIANA
Fabaceae,Bauhinia,reflexa,Schery,BAUR,BAUHRE,LIANA
Fabaceae,Bauhinia,spp.,NA,NA,BAUH1,LIANA
Fabaceae:Caesal.,Bauhinia,ungulata,,,BAUHUN,NA
Lauraceae,Beilschmiedia,aff.tilaranensis,,,BEILTI,NA
Lauraceae,Beilschmiedia,pendula,(Sw.) Hemsl.,BEIP,BEILPE,T
Lauraceae,Beilschmiedia,sulcata,,,BEILSU,T
Melastomataceae,Bellucia,pentamera,,,BELLPE,U
Rubiaceae,Bertiera,guianensis,Aubl.,BERG,BERTGU,S
Gesneriaceae,Besleria,formicaria,,,BESLFO,S
Bignoniaceae,Bignoniaceae,sp.,NA,NA,BIGNSP,LIANA
Hippocastanaceae,Billia,rosea,,,BILLCO,NA
Bixaceae,Bixa,orellana,,,BIXAOR,NA
Asclepiadaceae,Blepharodon,mucronatum,NA,NA,BLEPMU,LIANA
Papaveraceae,Bocconia,frutescens,,,BOCCFR,S
Convulvaceae,Bonamia,trichantha,NA,NA,BONATR,LIANA
Rubiaceae,Borojoa,panamensis,Dwyer,BORP,BOROPA,M
Rubiaceae,Borojoa,sp.1,NA,NA,BORO1,NA
Boraginaceae,Bourreria,costaricensis,,,BOURCO,T
Acanthaceae,Bravaisia,integerrima,NA,NA,BRAVIN,NA
Moraceae,Brosimum,alicastrum,Sw.,BROA,BROSAL,T
Moraceae,Brosimum,costaricanum,,,BROSCO,T
Moraceae,Brosimum,guianense,(Aubl.) Huber,BROG,BROSGU,T
Moraceae,Brosimum,lactescens,,,BROSLA,NA
Moraceae,Brosimum,rubescens,,,BROSRU,NA
Moraceae,Brosimum,utile,(Kunth) Pittier,BROU,BROSUT,T
Fabaceae:Caesal.,Brownea,macrophylla,,,BROWMA,NA
Solanaceae,Brunfelsia,dwyeri,,,BRUNDW,NA
Combretaceae,Buchenavia,tetraphylla,,,BUCHCA,NA
Combretaceae,Bucida,buceras,,,BUCIBU,NA
Loganiaceae,Buddleja,americana,NA,NA,BUDDAM,NA
Malpighiaceae,Bunchosia,dwyeri,,,BUNCDW,S
Malpighiaceae,Bunchosia,macrophylla,,,BUNCMA,NA
Malpighiaceae,Bunchosia,nitida,(Jacq.) DC.,BUNC,BUNCCO,NA
Malpighiaceae,Bunchosia,odorata,,,BUNCOD,U
Malpighiaceae,Bunchosia,sp.1,NA,NA,BUNC1,NA
Burseraceae,Bursera,simaruba,(L.) Sarg.,BURS,BURSSI,T
Burseraceae,Bursera,tomentosa,,,BURSTO,NA
Malpighiaceae,Byrsonima,crassifolia,(L.) Kunth,BYRC,BYRSCR,T
Malpighiaceae,Byrsonima,crispa,,,BYRSC1,T
Malpighiaceae,Byrsonima,dressleri,,,BYRSNE,NA
Malpighiaceae,Byrsonima,spicata,(Cav.) DC.,BYRS,BYRSSP,T
Sterculiaceae,Byttneria,aculeata,(Jacq.) Jacq.,BYTA,BYTTAC,VINE
Fabaceae:Mimos.,Caesalpinia,coriaria,,,CAESCO,NA
Fabaceae:Mimos.,Caesalpinia,eriostachys,NA,NA,CAESER,NA
Icacinaceae,Calatola,costaricensis,,,CALACO,NA
Fabaceae:Mimos.,Calliandra,aff.grandifolia,,,CALLGR,NA
Fabaceae:Mimos.,Calliandra,laxa_var.stipulacea,,,CALLST,NA
Fabaceae:Mimos.,Calliandra,magdalenae,,,CALLMA,S
Verbenaceae,Callicarpa,acuminata,,,CAL4AC,NA
Bignoniaceae,Callichlamys,latifolia,(L. Rich.) K. Schum.,CAL1,CALLLA,LIANA
Clusiaceae,Calophyllum,brasiliense,,,CALOBR,T
Clusiaceae,Calophyllum,inophyllum,,,CALOIN,NA
Clusiaceae,Calophyllum,longifolium,Willd.,CAL2,CALOLO,T
Clusiaceae,Calophyllum,nubicola,NA,NA,CALONU,NA
Myrtaceae,Calycolpus,sp.1,NA,NA,CAL11,NA
Myrtaceae,Calycolpus,warszewiczianus,O. Berg,CALW,CAL1WA,M
Rubiaceae,Calycophyllum,candidissimum,(Vahl) DC.,CALC,CAL2CA,T
Myrtaceae,Calyptranthes,chytraculia,,,CALYCH,U
Myrtaceae,Calyptranthes,pallens,,,CALYCO,NA
Myrtaceae,Calyptranthes,pulchella,,,CALYPU,NA
Myrtaceae,Calyptranthes,tumidonodia,,,CALYTU,NA
Arecaceae,Calyptrogyne,costatifrons,,,CAL3CO,S palma
Anacardiaceae,Campnosperma,panamense,,,CAMPPA,NA
Annonaceae,Cananga,odorata,NA,NA,CANAOD,NA
Capparaceae,Capparis,aff.osmantha,,,CAPPOS,T
Capparaceae,Capparis,antonensis,,,CAPPAN,T
Capparaceae,Capparis,cynophallophora,,,CAPPCY,U
Capparaceae,Capparis,discolor,,,CAPPDI,U
Capparaceae,Capparis,flexuosa,,,CAPPFL,NA
Capparaceae,Capparis,frondosa,Jacq.,CAPF,CAPPFR,S
Capparaceae,Capparis,indica,(L.) Druce,CAPI,CAPPIN,S
Capparaceae,Capparis,panamensis,,,CAPPPA,S
Capparaceae,Capparis,pittieri,,,CAPPPI,U
Capparaceae,Capparis,verrucosa,,,CAPPVE,NA
Meliaceae,Carapa,guianensis,Aubl.,CARG,CARAGU,T
Caricaceae,Carica,papaya,,,CARIPA,M
Flacourtiaceae,Carpotroche,platyptera,NA,NA,CARPPL,NA
Lauraceae,Caryodaphnopsis,burgeri,,,CARYBU,T
Lauraceae,Caryodaphnopsis,tomentosa,,,CARYTO,NA
Flacourtiaceae,Casearia,aculeata,Jacq.,CAS1,CASEAC,U
Flacourtiaceae,Casearia,arborea,(Rich.) Urb.,CAS2,CASEAR,T
Flacourtiaceae,Casearia,arguta,,,CASEA1,U
Flacourtiaceae,Casearia,commersoniana,Cambess.,CASC,CASECO,U
Flacourtiaceae,Casearia,coronata,,,CASEC1,NA
Flacourtiaceae,Casearia,corymbosa,Kunth,CAS5,CASEC2,NA
Flacourtiaceae,Casearia,guianensis,(Aubl.) Urb.,CASG,CASEGU,U
Flacourtiaceae,Casearia,nigricans,,,CASENI,NA
Flacourtiaceae,Casearia,sp.1,NA,NA,CASE1,NA
Flacourtiaceae,Casearia,sp.3,NA,NA,CASE3,NA
Flacourtiaceae,Casearia,sp.4,NA,NA,CASE4,NA
Flacourtiaceae,Casearia,sp.5,NA,NA,CASE5,NA
Flacourtiaceae,Casearia,sp.6,NA,NA,CASE6,NA
Flacourtiaceae,Casearia,sylvestris,Sw.,CASS,CASESY,M
Fabaceae:Caesal.,Cassia,grandis,NA,NA,CAS1GR,NA
Fabaceae:Caesal.,Cassia,moschata,,,CAS1MO,T
Rhizophoraceae,Cassipourea,enana,,,CASS2,NA
Rhizophoraceae,Cassipourea,hoja_grande,,,CASS1,NA
Rhizophoraceae,Cassipourea,elliptica,(Sw.) Poir.,CAS3,CASSEL,M
Moraceae,Castilla,elastica,Sessé ex Cerv.,CAS4,CASTEL,T
Bombacaceae,Cavanillesia,platanifolia,(Bonpl.) Kunth,CAVP,CAVAPL,T
Ericaceae,Cavendishia,bracteata,NA,NA,CAVEBR,NA
Cucurbitaceae,Cayaponia,denticulata,Killip ex C. Jeffrey,CAYD,CAYADE,VINE
Cucurbitaceae,Cayaponia,granatensis,Cogn.,CAYG,CAYAGR,VINE
Cecropiaceae,Cecropia,garciae,,,CECRGA,U
Cecropiaceae,Cecropia,heterochroma,,,CECRHE,U
Cecropiaceae,Cecropia,insignis,Liebm.,CECI,CECRIN,T
Cecropiaceae,Cecropia,longipes,Pittier,CECL,CECRLO,M
Cecropiaceae,Cecropia,obtusifolia,Bertol.,CECO,CECROB,M
Cecropiaceae,Cecropia,peltata,L.,CECP,CECRPE,M
Meliaceae,Cedrela,fissilis,,,CEDRFI,NA
Meliaceae,Cedrela,odorata,L.,CEDO,CEDROD,T
Bombacaceae,Ceiba,pentandra,(L.) Gaertn.,CEIP,CEIBPE,T
Ulmaceae,Celtis,iguanaeus,(Jacq.) Sarg.,CELI,CELTIG,LIANA
Ulmaceae,Celtis,schippii,Standl.,CELS,CELTSC,M
Campanulaceae,Centropogon,tortilis,,,CENTTO,NA
Bignoniaceae,Ceratophytum,tetragonolobum,(Jacq.) Sprague & Sandwith,CERT,CERATE,LIANA
Ochnaceae,Cespedesia,spathulata,(Ruiz & Pav.) Planch.,CES1,CESPMA,NA
Solanaceae,Cestrum,latifolium,Lam.,CESL,CESTLA,S
Solanaceae,Cestrum,megalophyllum,Dunal,CES2,CESTME,S
Solanaceae,Cestrum,racemosum,NA,NA,CESTRA,NA
Arecaceae,Chamaedorea,pinnatifrons,,,CHA1PI,NA
Arecaceae,Chamaedorea,tepejilote,Liebm. ex Mart.,CHAW,CHA1TE,S palma
Myrtaceae,Chamguava,schippii,(Standl.) Landrum,PSIA,CHA2SC,U
Hippocrateaceae,Cheiloclinium,cognatum,,,CHEICO,U
Rubiaceae,Chimarrhis,latifolia,,,CHIMLA,NA
Rubiaceae,Chimarrhis,parviflora,Standl.,CHIP,CHIMPA,T
Rubiaceae,Chiococca,alba,(L.) Hitchc.,CHIA,CHIOAL,LIANA
Oleaceae,Chionanthus,panamensis,,,CHI1PA,U
Fabaceae:Mimos.,Chloroleucon,mangense,,,CHLOMA,M
Rubiaceae,Chomelia,barbellata,Standl.,CHOB,CHOMAT,VINE
Rubiaceae,Chomelia,psilocarpa,Dwyer & M.V. Hayden,CHOP,CHOMPS,LIANA
Rubiaceae,Chomelia,spinosa,,,CHOMSP,U
Menispermaceae,Chondrodendron,tomentosum,Ruiz & Pav.,CHOT,CHONTO,LIANA
Sapotaceae,Chromolucuma,aff.rubriflora,,,CHRORU,NA
Chrysobalanaceae,Chrysobalanus,icaco,,,CHR3IC,S
Clusiaceae,Chrysochlamys,eclipes,L.O. Williams,TOVN,CHR1EC,S
Clusiaceae,Chrysochlamys,glauca,,,CHR1GL,NA
Clusiaceae,Chrysochlamys,grandifolia,,,CHR1GR,U
Clusiaceae,Chrysochlamys,nicaraguensis,,,CHR1NI,NA
Sapotaceae,Chrysophyllum,argenteum,Jacq.,CHRA,CHR2AR,T
Sapotaceae,Chrysophyllum,brenesii,,,CHR2BR,T
Sapotaceae,Chrysophyllum,cainito,L.,CHRC,CHR2CA,T
Sapotaceae,Chrysophyllum,colombianum,,,CHR2CO,NA
Sapotaceae,Chrysophyllum,hirsutum,,,CHR2HI,NA
Sapotaceae,Chrysophyllum,sp.1,NA,NA,CHR21,NA
Sapotaceae,Chrysophyllum,sp.2,NA,NA,CHR22,NA
Sapotaceae,Chrysophyllum,venezuelanense,,,CHR2VE,T
Poaceae,Chusquea,simpliciflora,Munro,CHUS,CHUSSI,VINE
Lauraceae,Cinnamomum,paratriplinerve,,,CINNPA,M
Lauraceae,Cinnamomum,triplinerve,(Ruiz & Pav.) Kosterm.,PHOM,PHOECI,NA
Vitaceae,Cissus,alata,NA,NA,CISSRH,LIANA
Vitaceae,Cissus,erosa,Rich.,CISE,CISSER,VINE
Vitaceae,Cissus,fuliginea,Kunth,CISP,CISSPS,VINE
Vitaceae,Cissus,microcarpa,Vahl,CISM,CISSMI,VINE
Vitaceae,Cissus,sp.1,NA,NA,CISS1,LIANA
Vitaceae,Cissus,verticillata,L.,CISS,CISSSI,VINE
Verbenaceae,Citharexylum,caudatum,L.,CITC,CITHCA,NA
Rutaceae,Citrus,limon,NA,NA,CITRLI,NA
Rutaceae,Citrus,sinensis,,,CITRSI,U
Moraceae,Clarisia,biflora,,,CLARBI,M
Moraceae,Clarisia,racemosa,,,CLARRA,T
Theophrastaceae,Clavija,biborrana,,,CLAVBI,S
